sample,letter,group
SRR14749965Aligned.sortedByCoord.out.bam,A1,A
SRR14749966Aligned.sortedByCoord.out.bam,A2,A
SRR14749967Aligned.sortedByCoord.out.bam,A3,A
SRR14749968Aligned.sortedByCoord.out.bam,A4,A
SRR14749969Aligned.sortedByCoord.out.bam,A5,A
SRR14749973Aligned.sortedByCoord.out.bam,A6,A
SRR14749982Aligned.sortedByCoord.out.bam,B1,B
SRR14749983Aligned.sortedByCoord.out.bam,B2,B
SRR14749984Aligned.sortedByCoord.out.bam,B3,B
SRR14749985Aligned.sortedByCoord.out.bam,B4,B
SRR14749986Aligned.sortedByCoord.out.bam,B5,B
SRR14749987Aligned.sortedByCoord.out.bam,B6,B
